Год,Инфляция,Ключевая_ставка,Реальная_ставка,Отклонение_от_цели,Статус_инфляции
2000,20.2,25.0,4.8,16.2,Критическая
2001,18.58,25.0,6.42,14.58,Критическая
2002,15.06,21.0,5.94,11.06,Критическая
2003,11.99,16.0,4.01,7.99,Высокая
2004,11.74,13.0,1.26,7.74,Высокая
2005,10.91,13.0,2.09,6.91,Высокая
2006,9.0,11.0,2.0,5.0,Высокая
2007,11.87,10.0,-1.87,7.87,Высокая
2008,13.28,11.0,-2.28,9.28,Высокая
2009,8.8,10.5,1.7,4.8,Высокая
2010,8.78,7.75,-1.03,4.78,Высокая
2011,6.1,8.0,1.9,2.1,Умеренная
2012,6.58,8.0,1.42,2.58,Умеренная
2013,6.45,5.5,-0.95,2.45,Умеренная
2014,11.36,17.0,5.64,7.36,Высокая
2015,12.91,11.0,-1.91,8.91,Высокая
2016,5.38,10.0,4.62,1.38,Умеренная
2017,2.52,7.75,5.23,-1.48,Низкая
2018,4.27,7.25,2.98,0.27,Низкая
2019,3.05,6.25,3.2,0.95,Низкая
2020,4.91,4.25,-0.66,0.91,Низкая
2021,8.39,8.5,0.11,4.39,Высокая
2022,11.94,16.0,4.06,7.94,Высокая
2023,7.42,15.0,7.58,3.42,Умеренная
2024,7.7,16.0,8.3,3.7,Умеренная
2025,6.5,21.0,14.5,2.5,Умеренная
